## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
whiskey1,Jack Daniel's Old No. 7 Half Bottle,Whiskey,Jack Daniel's Old No. 7 Half Bottle,https://raw.githubusercontent.com/shivi13122/targetfeeds/main/Jack%20Daniel's%20Old%20No.%207%20Half%20Bottle.png ,12.95,https://johnyliquor.000webhostapp.com/jonnysLiq/detail.php?product=1 ,,,,,,,,,,,,,
whiskey2,Jim Beam White Label,Whiskey,Jim Beam White Label,https://raw.githubusercontent.com/shivi13122/targetfeeds/main/Jim%20Beam%20Red%20Stag.png,16.95,https://johnyliquor.000webhostapp.com/jonnysLiq/detail.php?product=2,,,,,,,,,,,,,
whiskey3,Heaven Hill,Whiskey,Heaven Hill,https://raw.githubusercontent.com/shivi13122/targetfeeds/main/Heaven%20Hill.png,19.75,https://johnyliquor.000webhostapp.com/jonnysLiq/detail.php?product=3,,,,,,,,,,,,,
whiskey4,Four Roses Yellow Label,Whiskey,Four Roses Yellow Label,https://raw.githubusercontent.com/shivi13122/targetfeeds/main/Four%20Roses%20Yellow%20Label.png ,20.95,https://johnyliquor.000webhostapp.com/jonnysLiq/detail.php?product=11 ,,,,,,,,,,,,,
whiskey5,Jim Beam Red Stag,Whiskey,Jim Beam Red Stag,https://raw.githubusercontent.com/shivi13122/targetfeeds/main/Jim%20Beam%20Red%20Stag.png,23.35,https://johnyliquor.000webhostapp.com/jonnysLiq/detail.php?product=12,,,,,,,,,,,,,
whiskey6,Buffalo Trace Bourbon,Whiskey,Buffalo Trace Bourbon,https://raw.githubusercontent.com/shivi13122/targetfeeds/main/Buffalo%20Trace%20Bourbon.png ,23.95,https://johnyliquor.000webhostapp.com/jonnysLiq/detail.php?product=13,,,,,,,,,,,,,
whiskey7,Bulleit Bourbon,Whiskey,Bulleit Bourbon,https://raw.githubusercontent.com/shivi13122/targetfeeds/main/Bulleit%20Bourbon.png ,28.95,https://johnyliquor.000webhostapp.com/jonnysLiq/detail.php?product=14,,,,,,,,,,,,,
whiskey8,Old Crow,Whiskey,Old Crow,https://github.com/shivi13122/targetfeeds/blob/main/Old%20Crow.png ,31.95,https://johnyliquor.000webhostapp.com/jonnysLiq/detail.php?product=15,,,,,,,,,,,,,
whiskey9,Johnnie Walker 12 Year Old Black Label Small,Whiskey,Johnnie Walker 12 Year Old Black Label Small,https://raw.githubusercontent.com/shivi13122/targetfeeds/main/Johnnie%20Walker%2012%20Year%20Old%20Black%20Label%20Small.png ,7.65,https://johnyliquor.000webhostapp.com/jonnysLiq/detail.php?product=16,,,,,,,,,,,,,
whiskey10,Famous Grouse Half Bottle,Whiskey,Famous Grouse Half Bottle,https://raw.githubusercontent.com/shivi13122/targetfeeds/main/Famous%20Grouse%20Half%20Bottle.png ,9.15,https://johnyliquor.000webhostapp.com/jonnysLiq/detail.php?product=17,,,,,,,,,,,,,
